,userId,rating,MovieTitle,Genre
10,1,2.5,Rocky III,Drama
11,1,1.0,Greed,Drama-History
13,1,4.0,American Pie,Comedy-Romance
15,1,2.0,My Tutor,Comedy-Drama-Romance
16,1,2.0,Jay and Silent Bob Strike Back,Comedy
17,1,2.5,Confidentially Yours,Drama-Comedy-Crime
21,2,5.0,The Dark,Horror-Thriller-Mystery
26,2,3.0,2001: A Space Odyssey,Science Fiction-Mystery-Adventure
27,2,4.0,Three Colors: Red,Drama-Mystery-Romance
28,2,3.0,Wings of Desire,Drama-Fantasy-Romance
29,2,5.0,48 Hrs.,Thriller-Action-Comedy-Crime-Drama
30,2,4.0,Lost in Translation,Drama
31,2,3.0,Ocean's Eleven,Thriller-Crime
32,2,3.0,Back to the Future Part II,Adventure-Comedy-Family-Science Fiction
33,2,3.0,Star Trek IV: The Voyage Home,Science Fiction-Adventure
34,2,3.0,A Clockwork Orange,Science Fiction-Drama
35,2,3.0,Lucky Number Slevin,Drama-Thriller-Crime-Mystery
37,2,5.0,Berlin: Symphony of a Great City,Documentary-History
38,2,1.0,Rebecca,Drama-Mystery
39,2,3.0,Man of Iron,Drama-History
40,2,3.0,Stand by Me,Crime-Drama
41,2,3.0,Pocketful of Miracles,Comedy-Drama
42,2,4.0,Live and Let Die,Adventure-Action-Thriller
43,2,4.0,Cat on a Hot Tin Roof,Drama-Romance
44,2,5.0,Lili Marleen,War-Drama-Romance
45,2,5.0,Contempt,Drama
46,2,3.0,Batman Begins,Action-Crime-Drama
47,2,4.0,The White Sound,Drama
48,2,3.0,Dave Chappelle's Block Party,Comedy-Documentary-Music
49,2,4.0,Terminator 3: Rise of the Machines,Action-Thriller-Science Fiction
50,2,3.0,The Science of Sleep,Comedy-Drama-Fantasy
51,2,4.0,Catwoman,Action-Crime
52,2,2.0,Grbavica: The Land of My Dreams,Drama-History
53,2,1.0,True Romance,Action-Thriller-Crime-Romance
54,2,3.0,Night on Earth,Comedy-Drama
55,2,4.0,Cockles and Muscles,Comedy
56,2,4.0,The Devil Wears Prada,Comedy-Drama-Romance
59,2,3.0,Batman Returns,Action-Fantasy
64,2,3.0,A Nightmare on Elm Street,Horror
66,2,2.0,La Strada,Drama
67,2,3.0,Summer in Berlin,Comedy-Drama
68,2,4.0,Romeo + Juliet,Drama-Romance
69,2,3.0,Sissi,Comedy-Drama-Romance
70,2,4.0,My Own Private Idaho,Drama-Romance
72,2,4.0,Monsoon Wedding,Comedy-Drama-Romance
74,2,3.0,The Green Mile,Fantasy-Drama-Crime
75,2,4.0,Reservoir Dogs,Crime-Thriller
76,2,4.0,Love Actually,Comedy-Romance-Drama
77,2,4.0,Notting Hill,Romance-Comedy-Drama
79,2,4.0,Once Were Warriors,Drama
80,2,4.0,Not Here to Be Loved,Romance-Drama
81,2,3.0,Psycho,Drama-Horror-Thriller
82,2,3.0,Fight Club,Drama
83,2,5.0,The Poseidon Adventure,Action-Adventure
84,2,3.0,Bread and Tulips,Drama-Comedy-Romance
85,2,5.0,"Monsters, Inc.",Animation-Comedy-Family
86,2,3.0,Wag the Dog,Comedy-Drama
87,2,3.0,Big Fish,Adventure-Fantasy-Drama
88,2,3.0,Silent Hill,Horror-Mystery
90,2,5.0,The Hours,Drama
91,2,5.0,The Conversation,Crime-Drama-Mystery
92,2,3.0,Solaris,Drama-Science Fiction-Adventure-Mystery
93,2,3.0,The Last Samurai,Drama-Action-War-History
94,2,4.0,The Marriage of Maria Braun,War-Drama
97,3,4.0,Three Colors: Red,Drama-Mystery-Romance
98,3,3.5,The Killing,Drama-Action-Thriller-Crime
99,3,3.0,Live Flesh,Drama-Romance-Thriller
100,3,4.5,Terminator 3: Rise of the Machines,Action-Thriller-Science Fiction
101,3,5.0,The Million Dollar Hotel,Drama-Thriller
104,3,2.5,A Nightmare on Elm Street,Horror
105,3,3.0,Once Were Warriors,Drama
106,3,3.0,Silent Hill,Horror-Mystery
107,3,3.0,The Conversation,Crime-Drama-Mystery
108,3,3.0,Solaris,Drama-Science Fiction-Adventure-Mystery
109,3,2.0,To Kill a Mockingbird,Crime-Drama
111,3,4.0,Monsieur  Hulot's Holiday,Comedy-Family
112,3,3.0,Finding Neverland,Drama
116,3,3.0,300,Action-Adventure-War
117,3,4.0,Shortbus,Romance-Drama-Comedy
118,3,3.5,Rope,Crime-Drama-Mystery-Thriller
